element_name,element_type,kw_loss,kvar_loss
Line.line_edge-000225,Line,0.00022643669251939214,-0.0027355685762224164
Line.line_edge-000226,Line,0.0012834302013333314,-0.015500437198440192
Line.line_edge-000227,Line,1.9910474381504172e-05,-0.0015568681835575263
Line.line_edge-000228,Line,0.00011287250362693158,-0.008821988874201906
Line.line_edge-000229,Line,0.0004801042507054571,-0.0026202352401694944
Line.line_edge-000230,Line,0.002724873182409363,-0.014866856781539076
Line.line_edge-000231,Line,0.0032514914002094884,0.0029310904458834555
Line.line_edge-000232,Line,0.018425812781060813,0.016613531368333496
Line.line_edge-000233,Line,0.00034530602581253335,-0.001695850107010301
Line.line_edge-000234,Line,0.0019571961692108745,-0.009608073126941235
Line.line_edge-000235,Line,7.007034834031867e-06,-0.0037536664253971495
Line.line_edge-000236,Line,3.990190311464653e-05,-0.021308661108063606
Line.line_edge-000237,Line,9.481353137562109e-05,-0.0018391186998333068
Line.line_edge-000238,Line,0.0005367740017172764,-0.010408393002336197
Line.line_edge-000239,Line,8.519026183141155e-06,-0.004112212814352173
Line.line_edge-000240,Line,4.836568100962275e-05,-0.023302199866089782
Line.line_edge-000241,Line,0.005921158553863183,-0.002031204850269585
Line.line_edge-000242,Line,0.03355997524157121,-0.011500231252327924
Line.line_edge-000243,Line,0.0019043361905998325,-0.006391202194206446
Line.line_edge-000244,Line,0.010804456915348728,-0.036249452140648536
Line.line_edge-000245,Line,6.349102172634958e-06,-0.0022896250397624273
Line.line_edge-000246,Line,3.6064531532474575e-05,-0.01297421385602945
Line.line_edge-000247,Line,0.005143993587858858,0.0009009568701221724
Line.line_edge-000248,Line,0.02915144610592688,0.0051143534572001955
Line.line_edge-000249,Line,0.003936330673583143,-0.0012707869888217828
Line.line_edge-000250,Line,0.022339361155864025,-0.0072004813093535635
Line.line_edge-000251,Line,1.7689288120046775e-05,-0.004971808480823352
Line.line_edge-000252,Line,0.00010053673961860386,-0.028172949476250965
Line.line_edge-000253,Line,6.148959466563398e-05,-0.005203032121103742
Line.line_edge-000254,Line,0.00034938141644225563,-0.029482457132371253
Line.line_edge-000255,Line,0.0012827913710134454,-0.001888118510156346
Line.line_edge-000256,Line,0.007270448335497349,-0.010693929565180952
Line.line_edge-000257,Line,1.3895516074295955e-05,-0.005449930732632851
Line.line_edge-000258,Line,7.914749160627556e-05,-0.030855521075188602
Line.line_edge-000259,Line,6.036710641346055e-05,-0.0055084281771197435
Line.line_edge-000260,Line,0.0003424453358134478,-0.031213016272307992
Line.line_edge-000261,Line,3.3227359731426987e-06,-0.0029222140257323874
Line.line_edge-000262,Line,1.887847025955125e-05,-0.016539768969664807
Line.line_edge-000263,Line,0.00021465589383803162,-0.005833737851303972
Line.line_edge-000264,Line,0.0012185058866311777,-0.03305472079273354
Line.line_edge-000265,Line,3.522088748468377e-05,-0.003029831544491117
Line.line_edge-000266,Line,0.00019974052911311447,-0.01715452700687888
Line.line_edge-000267,Line,4.9720807428636604e-05,-0.006254245190796442
Line.line_edge-000268,Line,0.0002823423821515696,-0.03540115387163139
